LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE174 PARQUE ANTENASVARIOS,BOUTIQUE,174 PARQUE ANTENAS,VARIOS,,4,68.96,0
BOUTIQUE180 PLAZA CIUDAD JARDINACCESORIOSLIMPIEZA,BOUTIQUE,180 PLAZA CIUDAD JARDIN,ACCESORIOS,LIMPIEZA,30,4270.69,1363.94
BOUTIQUE180 PLAZA CIUDAD JARDINVARIOS,BOUTIQUE,180 PLAZA CIUDAD JARDIN,VARIOS,,11,189.64,0
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSPIN,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,PIN,24,1331.03,527.208
BOUTIQUE144 5 DE MAYOACCESORIOSPIN,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,PIN,9,517.24,195.828
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSPIN,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,PIN,18,991.37,376.656
BOUTIQUE124 SATELITEACCESORIOSPIN,BOUTIQUE,124 SATELITE,ACCESORIOS,PIN,16,834.47,346.472
BOUTIQUE104 CENTROACCESORIOSPIN,BOUTIQUE,104 CENTRO,ACCESORIOS,PIN,6,396.56,150.552
BOUTIQUE158 SENDERO IXTAPALUCAACCESORIOSPIN,BOUTIQUE,158 SENDERO IXTAPALUCA,ACCESORIOS,PIN,15,896.56,346.38
BOUTIQUE157 PLAZA ERMITAACCESORIOSPIN,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,PIN,6,356.9,150.552
BOUTIQUE169 GRAN SURACCESORIOSPIN,BOUTIQUE,169 GRAN SUR,ACCESORIOS,PIN,10,639.67,255.92
BOUTIQUE114 INSURGENTESACCESORIOSPIN,BOUTIQUE,114 INSURGENTES,ACCESORIOS,PIN,15,1029.34,406.38
BOUTIQUE101 ARAGONACCESORIOSPIN,BOUTIQUE,101 ARAGON,ACCESORIOS,PIN,8,551.74,210.736
BOUTIQUE180 PLAZA CIUDAD JARDINACCESORIOSPIN,BOUTIQUE,180 PLAZA CIUDAD JARDIN,ACCESORIOS,PIN,27,1824.19,722.484
BOUTIQUE151 SENDERO TOLUCAACCESORIOSPIN,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,PIN,9,560.35,210.828
BOUTIQUE158 SENDERO IXTAPALUCAVARIOS,BOUTIQUE,158 SENDERO IXTAPALUCA,VARIOS,,6,103.44,0
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSPIN,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,PIN,20,1263.82,511.84
BOUTIQUE146 CHALCOACCESORIOSPIN,BOUTIQUE,146 CHALCO,ACCESORIOS,PIN,10,594.83,225.92
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOSPIN,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,PIN,13,856.06,331.196
BOUTIQUE172 COSMOPOLACCESORIOSPIN,BOUTIQUE,172 COSMOPOL,ACCESORIOS,PIN,13,743.1,286.196
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSPIN,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,PIN,14,932.78,361.288
BOUTIQUE106 CONDESAACCESORIOSPIN,BOUTIQUE,106 CONDESA,ACCESORIOS,PIN,4,275.87,105.368
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSPIN,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,PIN,27,1781.08,737.484
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSPIN,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,PIN,4,275.87,105.368
BOUTIQUE117 MIXCOACACCESORIOSPIN,BOUTIQUE,117 MIXCOAC,ACCESORIOS,PIN,20,1313.82,511.84
BOUTIQUE179 PLAZA CENTRALACCESORIOSPIN,BOUTIQUE,179 PLAZA CENTRAL,ACCESORIOS,PIN,9,570.7,225.828
BOUTIQUE178 COACALCO POWER CENTERACCESORIOSPIN,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,PIN,9,563.8,225.828
BOUTIQUE177 PUERTA ARAGONACCESORIOSPIN,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,PIN,11,663.8,256.012
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOSPIN,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,PIN,7,431.04,165.644
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSPIN,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,PIN,14,718.95,286.288
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSPIN,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,PIN,13,725.86,286.196
BOUTIQUE147 SAN COSMEACCESORIOSPIN,BOUTIQUE,147 SAN COSME,ACCESORIOS,PIN,9,510.34,195.828
BOUTIQUE115 LA VILLAACCESORIOSPIN,BOUTIQUE,115 LA VILLA,ACCESORIOS,PIN,5,337.94,135.46
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSPIN,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,PIN,5,241.37,90.46
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOSCUBREBOCAS,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,CUBREBOCAS,1,12.93,27.81
BOUTIQUE128 TEXCOCOACCESORIOSPIN,BOUTIQUE,128 TEXCOCO,ACCESORIOS,PIN,6,365.52,150.552
BOUTIQUE167 CENTRAM MARTIN CARRERAACCESORIOSPIN,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ACCESORIOS,PIN,6,353.45,135.552
BOUTIQUE130 TOLUCAACCESORIOSPIN,BOUTIQUE,130 TOLUCA,ACCESORIOS,PIN,4,217.24,90.368
BOUTIQUE174 PARQUE ANTENASACCESORIOSPIN,BOUTIQUE,174 PARQUE ANTENAS,ACCESORIOS,PIN,10,527.58,210.92
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOSPIN,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,PIN,8,414.66,195.736
BOUTIQUE127 TENAYUCAACCESORIOSCALCETINES,BOUTIQUE,127 TENAYUCA,ACCESORIOS,CALCETINES,1,47.41,35
BOUTIQUE178 COACALCO POWER CENTERACCESORIOSCALCETINES,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,CALCETINES,2,159.49,60
BOUTIQUE161 GRAN PATIO ECATEPECVARIOS,BOUTIQUE,161 GRAN PATIO ECATEPEC,VARIOS,,1,0,0
BOUTIQUE175 METROPOLI PATRIOTISMOCALZADOARMADO,BOUTIQUE,175 METROPOLI PATRIOTISMO,CALZADO,ARMADO,805,437543.46,187962.6396
BOUTIQUE175 METROPOLI PATRIOTISMOCALZADOINYECTADO,BOUTIQUE,175 METROPOLI PATRIOTISMO,CALZADO,INYECTADO,267,74836.43,37229.9951
BOUTIQUE175 METROPOLI PATRIOTISMOROPAPLAYERA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ROPA,PLAYERA,5,1363.8,584
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSBOLSA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,BOLSA,94,4529.64,2300
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSMOCHILA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,MOCHILA,9,5708.59,2103
BOUTIQUE175 METROPOLI PATRIOTISMOROPASUDADERA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ROPA,SUDADERA,11,6735.87,2491.5
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSPERFUME,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,PERFUME,21,2136.24,735
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSLIMPIEZA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,LIMPIEZA,16,2168.96,700.35
BOUTIQUE182 CUAUTLAACCESORIOSPIN,BOUTIQUE,182 CUAUTLA,ACCESORIOS,PIN,3,158.62,75.276
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSLLAVERO,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,LLAVERO,5,132.76,45
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSPLANTILLA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,PLANTILLA,9,353.42,127.8
BOUTIQUE184 LEON CENTROCALZADOINYECTADO,BOUTIQUE,184 LEON CENTRO,CALZADO,INYECTADO,727,182129.26,92114.3499
BOUTIQUE184 LEON CENTROCALZADOARMADO,BOUTIQUE,184 LEON CENTRO,CALZADO,ARMADO,666,328850.11,147538.5075
BOUTIQUE185 MULSA LEONCALZADOARMADO,BOUTIQUE,185 MULSA LEON,CALZADO,ARMADO,366,196299.47,81646.0341
BOUTIQUE185 MULSA LEONCALZADOINYECTADO,BOUTIQUE,185 MULSA LEON,CALZADO,INYECTADO,381,87009.27,48293.538
BOUTIQUE184 LEON CENTROROPASUDADERA,BOUTIQUE,184 LEON CENTRO,ROPA,SUDADERA,6,3722.76,1411
BOUTIQUE184 LEON CENTROACCESORIOSPLANTILLA,BOUTIQUE,184 LEON CENTRO,ACCESORIOS,PLANTILLA,3,120.68,42.6
BOUTIQUE184 LEON CENTROACCESORIOSPERFUME,BOUTIQUE,184 LEON CENTRO,ACCESORIOS,PERFUME,11,1232.77,385
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOS,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,,12,931.08,210
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSCALCETINES,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,CALCETINES,5,344.85,0
BOUTIQUE185 MULSA LEONACCESORIOSPERFUME,BOUTIQUE,185 MULSA LEON,ACCESORIOS,PERFUME,13,1456.91,455
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSCALCETINES,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,CALCETINES,5,344.85,0
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOS,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,,7,543.13,122.5
BOUTIQUE185 MULSA LEONACCESORIOSBOLSA,BOUTIQUE,185 MULSA LEON,ACCESORIOS,BOLSA,11,1094.82,430
BOUTIQUE185 MULSA LEONACCESORIOSPLANTILLA,BOUTIQUE,185 MULSA LEON,ACCESORIOS,PLANTILLA,3,129.3,42.6
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOS,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,,2,126.47,35
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOS,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,,12,931.08,210
BOUTIQUE175 METROPOLI PATRIOTISMOROPACHAMARRA,BOUTIQUE,175 METROPOLI PATRIOTISMO,ROPA,CHAMARRA,3,2327.58,885.43
BOUTIQUE170 FORUM BUENAVISTAACCESORIOS,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,,11,853.49,192.5
BOUTIQUE179 PLAZA CENTRALACCESORIOS,BOUTIQUE,179 PLAZA CENTRAL,ACCESORIOS,,3,232.77,52.5
BOUTIQUE179 PLAZA CENTRALACCESORIOSCALCETINES,BOUTIQUE,179 PLAZA CENTRAL,ACCESORIOS,CALCETINES,5,344.85,0
BOUTIQUE185 MULSA LEONACCESORIOSPIN,BOUTIQUE,185 MULSA LEON,ACCESORIOS,PIN,3,163.79,60.276
BOUTIQUE101 ARAGONACCESORIOSCALCETINES,BOUTIQUE,101 ARAGON,ACCESORIOS,CALCETINES,3,206.91,0
BOUTIQUE177 PUERTA ARAGONACCESORIOS,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,,2,155.18,35
BOUTIQUE106 CONDESAACCESORIOS,BOUTIQUE,106 CONDESA,ACCESORIOS,,10,775.9,175
BOUTIQUE127 TENAYUCAACCESORIOS,BOUTIQUE,127 TENAYUCA,ACCESORIOS,,3,232.77,52.5
BOUTIQUE146 CHALCOACCESORIOS,BOUTIQUE,146 CHALCO,ACCESORIOS,,4,310.36,70
BOUTIQUE101 ARAGONACCESORIOS,BOUTIQUE,101 ARAGON,ACCESORIOS,,4,310.36,70
BOUTIQUE184 LEON CENTROACCESORIOSMOCHILA,BOUTIQUE,184 LEON CENTRO,ACCESORIOS,MOCHILA,1,663.79,223
BOUTIQUE117 MIXCOACACCESORIOS,BOUTIQUE,117 MIXCOAC,ACCESORIOS,,5,387.95,87.5
BOUTIQUE144 5 DE MAYOACCESORIOSCALCETINES,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,CALCETINES,2,137.94,0
BOUTIQUE157 PLAZA ERMITAACCESORIOS,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,,6,465.54,105
BOUTIQUE114 INSURGENTESACCESORIOSCALCETINES,BOUTIQUE,114 INSURGENTES,ACCESORIOS,CALCETINES,3,206.91,0
BOUTIQUE180 PLAZA CIUDAD JARDINACCESORIOS,BOUTIQUE,180 PLAZA CIUDAD JARDIN,ACCESORIOS,,7,543.13,122.5
BOUTIQUE184 LEON CENTROACCESORIOS,BOUTIQUE,184 LEON CENTRO,ACCESORIOS,,2,155.18,35
BOUTIQUE158 SENDERO IXTAPALUCAACCESORIOS,BOUTIQUE,158 SENDERO IXTAPALUCA,ACCESORIOS,,10,775.9,175
BOUTIQUE157 PLAZA ERMITAROPAPANTS,BOUTIQUE,157 PLAZA ERMITA,ROPA,PANTS,2,172.42,350
BOUTIQUE172 COSMOPOLACCESORIOSCALCETINES,BOUTIQUE,172 COSMOPOL,ACCESORIOS,CALCETINES,6,413.82,0
BOUTIQUE172 COSMOPOLACCESORIOS,BOUTIQUE,172 COSMOPOL,ACCESORIOS,,3,232.77,52.5
BOUTIQUE169 GRAN SURACCESORIOS,BOUTIQUE,169 GRAN SUR,ACCESORIOS,,4,310.36,70
BOUTIQUE185 MULSA LEONACCESORIOSCALCETINES,BOUTIQUE,185 MULSA LEON,ACCESORIOS,CALCETINES,1,68.97,0
BOUTIQUE124 SATELITEACCESORIOS,BOUTIQUE,124 SATELITE,ACCESORIOS,,12,756.48,210
BOUTIQUE106 CONDESAACCESORIOSCALCETINES,BOUTIQUE,106 CONDESA,ACCESORIOS,CALCETINES,3,206.91,0
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSCALCETINES,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,CALCETINES,5,344.85,0
BOUTIQUE144 5 DE MAYOACCESORIOS,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,,4,310.36,70
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOS,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,,2,155.18,35
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSPIN,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,PIN,4,206.89,75.368
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOSCALCETINES,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,CALCETINES,6,413.82,0
BOUTIQUE185 MULSA LEONACCESORIOS,BOUTIQUE,185 MULSA LEON,ACCESORIOS,,1,77.59,17.5
BOUTIQUE158 SENDERO IXTAPALUCAACCESORIOSCALCETINES,BOUTIQUE,158 SENDERO IXTAPALUCA,ACCESORIOS,CALCETINES,9,620.73,0
BOUTIQUE180 PLAZA CIUDAD JARDINACCESORIOSCALCETINES,BOUTIQUE,180 PLAZA CIUDAD JARDIN,ACCESORIOS,CALCETINES,3,206.91,0
BOUTIQUE185 MULSA LEONACCESORIOSMOCHILA,BOUTIQUE,185 MULSA LEON,ACCESORIOS,MOCHILA,1,663.79,223
BOUTIQUE157 PLAZA ERMITAACCESORIOSCALCETINES,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,CALCETINES,5,344.85,0
BOUTIQUE184 LEON CENTROROPACHAMARRA,BOUTIQUE,184 LEON CENTRO,ROPA,CHAMARRA,1,603.45,214
BOUTIQUE130 TOLUCAACCESORIOS,BOUTIQUE,130 TOLUCA,ACCESORIOS,,6,465.54,105
BOUTIQUE128 TEXCOCOACCESORIOS,BOUTIQUE,128 TEXCOCO,ACCESORIOS,,3,232.77,52.5
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOS,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,,7,543.13,122.5
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOS,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,,1,77.59,17.5
BOUTIQUE115 LA VILLAACCESORIOS,BOUTIQUE,115 LA VILLA,ACCESORIOS,,1,77.59,17.5
BOUTIQUE174 PARQUE ANTENASACCESORIOS,BOUTIQUE,174 PARQUE ANTENAS,ACCESORIOS,,5,387.95,87.5
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOS,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,,4,310.36,70
BOUTIQUE114 INSURGENTESACCESORIOS,BOUTIQUE,114 INSURGENTES,ACCESORIOS,,1,77.59,17.5
BOUTIQUE184 LEON CENTROACCESORIOSBOLSA,BOUTIQUE,184 LEON CENTRO,ACCESORIOS,BOLSA,3,100.86,60
BOUTIQUE169 GRAN SURACCESORIOSCALCETINES,BOUTIQUE,169 GRAN SUR,ACCESORIOS,CALCETINES,4,275.88,0
BOUTIQUE184 LEON CENTROACCESORIOSPIN,BOUTIQUE,184 LEON CENTRO,ACCESORIOS,PIN,2,155.18,60.184
BOUTIQUE185 MULSA LEONROPACHAMARRA,BOUTIQUE,185 MULSA LEON,ROPA,CHAMARRA,3,1120.69,749
BOUTIQUE147 SAN COSMEACCESORIOSCALCETINES,BOUTIQUE,147 SAN COSME,ACCESORIOS,CALCETINES,1,68.97,0
BOUTIQUE178 COACALCO POWER CENTERACCESORIOS,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,,3,232.77,52.5
BOUTIQUE185 MULSA LEONACCESORIOSLLAVERO,BOUTIQUE,185 MULSA LEON,ACCESORIOS,LLAVERO,1,30.17,9
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOS,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,,1,77.59,17.5
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOS,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,,1,77.59,17.5
BOUTIQUE151 SENDERO TOLUCAACCESORIOS,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,,1,77.59,17.5
BOUTIQUE175 METROPOLI PATRIOTISMOACCESORIOSCALCETINES,BOUTIQUE,175 METROPOLI PATRIOTISMO,ACCESORIOS,CALCETINES,1,68.97,0
FRANQUICIAS139 CUAUHTEMOCCALZADOINYECTADO,FRANQUICIAS,139 CUAUHTEMOC,CALZADO,INYECTADO,65,8956.84,7183.704
FRANQUICIAS139 CUAUHTEMOCCALZADOARMADO,FRANQUICIAS,139 CUAUHTEMOC,CALZADO,ARMADO,97,48472.28,22642.7577
FRANQUICIASFRANQUICIASVARIOS,FRANQUICIAS,FRANQUICIAS,VARIOS,,-1894,-1121435.73,-71711.75
FRANQUICIASFRANQUICIASCALZADOARMADO,FRANQUICIAS,FRANQUICIAS,CALZADO,ARMADO,47458,18690256.45,10667215.75
FRANQUICIASFRANQUICIASCALZADOINYECTADO,FRANQUICIAS,FRANQUICIAS,CALZADO,INYECTADO,29665,6322401.41,3883626.143
FRANQUICIASFRANQUICIASACCESORIOSPERFUME,FRANQUICIAS,FRANQUICIAS,ACCESORIOS,PERFUME,249,11091,8715
FRANQUICIASFRANQUICIASROPAPLAYERA,FRANQUICIAS,FRANQUICIAS,ROPA,PLAYERA,-4,-512.72,-430
FRANQUICIASFRANQUICIASROPAPANTS,FRANQUICIAS,FRANQUICIAS,ROPA,PANTS,-2,-256.36,-405
,ONLINE,,CALZADO,ARMADO,2,698.28,285.5277
FRANQUICIASFRANQUICIASROPACHAMARRA,FRANQUICIAS,FRANQUICIAS,ROPA,CHAMARRA,-4,-1607,-965
FRANQUICIASFRANQUICIASROPASUDADERA,FRANQUICIAS,FRANQUICIAS,ROPA,SUDADERA,98,29811,18007.5
FRANQUICIASFRANQUICIASMATERIA PRIMA,FRANQUICIAS,FRANQUICIAS,MATERIA PRIMA,,90,900,609
FRANQUICIAS109 CUAUTITLANCALZADOARMADO,FRANQUICIAS,109 CUAUTITLAN,CALZADO,ARMADO,9,1519.82,1437.1093
FRANQUICIAS109 CUAUTITLANCALZADOINYECTADO,FRANQUICIAS,109 CUAUTITLAN,CALZADO,INYECTADO,21,2860.35,2188.5945
FRANQUICIAS109 CUAUTITLANROPAPLAYERA,FRANQUICIAS,109 CUAUTITLAN,ROPA,PLAYERA,4,275.95,350
FRANQUICIAS109 CUAUTITLANACCESORIOSBOLSA,FRANQUICIAS,109 CUAUTITLAN,ACCESORIOS,BOLSA,50,431,1000
FRANQUICIAS139 CUAUHTEMOCACCESORIOSBOLSA,FRANQUICIAS,139 CUAUHTEMOC,ACCESORIOS,BOLSA,1,758.62,230
FRANQUICIAS139 CUAUHTEMOCROPAPLAYERA,FRANQUICIAS,139 CUAUHTEMOC,ROPA,PLAYERA,10,2956.06,1197
FRANQUICIASFRANQUICIASACCESORIOSLIMPIEZA,FRANQUICIAS,FRANQUICIAS,ACCESORIOS,LIMPIEZA,144,12528,7073.76
FRANQUICIASFRANQUICIASACCESORIOS,FRANQUICIAS,FRANQUICIAS,ACCESORIOS,,240,7920,4200
FRANQUICIAS150 LAS AMERICAS ECATEPECCALZADOARMADO,FRANQUICIAS,150 LAS AMERICAS ECATEPEC,CALZADO,ARMADO,6,5474.15,1595.6817
FRANQUICIAS176 TOWN CENTER TECAMACCALZADOARMADO,FRANQUICIAS,176 TOWN CENTER TECAMAC,CALZADO,ARMADO,6,5646.56,1559.4245
ONLINETIENDA EN LINEAACCESORIOSGORRA,ONLINE,TIENDA EN LINEA,ACCESORIOS,GORRA,12,1882.72,1188
ONLINETIENDA EN LINEACALZADOINYECTADO,ONLINE,TIENDA EN LINEA,CALZADO,INYECTADO,10717,3105193.48,1459115.136
ONLINETIENDA EN LINEACALZADOARMADO,ONLINE,TIENDA EN LINEA,CALZADO,ARMADO,36315,19765409.69,8391507.918
ONLINETIENDA EN LINEAACCESORIOSLLAVERO,ONLINE,TIENDA EN LINEA,ACCESORIOS,LLAVERO,317,32935.45,2853
ONLINETIENDA EN LINEAACCESORIOSPERFUME,ONLINE,TIENDA EN LINEA,ACCESORIOS,PERFUME,864,105640.01,30240
ONLINETIENDA EN LINEAACCESORIOSLIMPIEZA,ONLINE,TIENDA EN LINEA,ACCESORIOS,LIMPIEZA,493,80764.54,21129.06
ONLINETIENDA EN LINEAACCESORIOSPLANTILLA,ONLINE,TIENDA EN LINEA,ACCESORIOS,PLANTILLA,518,47708.88,7355.6
ONLINETIENDA EN LINEAROPACHAMARRA,ONLINE,TIENDA EN LINEA,ROPA,CHAMARRA,253,99285.82,79125.05
ONLINETIENDA EN LINEAROPAPLAYERA,ONLINE,TIENDA EN LINEA,ROPA,PLAYERA,408,102717.72,49332
ONLINETIENDA EN LINEAVARIOS,ONLINE,TIENDA EN LINEA,VARIOS,,414,916182.43,0
ONLINETIENDA EN LINEAROPASUDADERA,ONLINE,TIENDA EN LINEA,ROPA,SUDADERA,509,258579.25,130559
ONLINECADENAS DE ZAPATERIASVARIOS,ONLINE,CADENAS DE ZAPATERIAS,VARIOS,,-1,-1106,-73.25
MARKETPLACECOPPEL MKPCALZADOINYECTADO,MARKETPLACE,COPPEL MKP,CALZADO,INYECTADO,369,142218.68,52408.3765
MARKETPLACECOPPEL MKPCALZADOARMADO,MARKETPLACE,COPPEL MKP,CALZADO,ARMADO,633,386450.42,145084.4986
MARKETPLACEAMAZONCALZADOARMADO,MARKETPLACE,AMAZON,CALZADO,ARMADO,3437,2292228.45,838296.3387
MARKETPLACEAMAZONCALZADOINYECTADO,MARKETPLACE,AMAZON,CALZADO,INYECTADO,1321,514530.6,198811.7316
ONLINETIENDA EN LINEAACCESORIOSCUBREBOCAS,ONLINE,TIENDA EN LINEA,ACCESORIOS,CUBREBOCAS,19,2095.09,528.39
ONLINETIENDA EN LINEAACCESORIOSMOCHILA,ONLINE,TIENDA EN LINEA,ACCESORIOS,MOCHILA,85,53021.61,19499
MARKETPLACEMERCADO LIBRECALZADOINYECTADO,MARKETPLACE,MERCADO LIBRE,CALZADO,INYECTADO,5654,2270832.54,849415.1475
